track_name,artists,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,hot_or_not,cluster_kmean
rockin' around the christmas tree,brenda lee,2EjXfH91m7f8HiJN1yQg97,0.589,0.472,8,-8.749,1,0.0502,0.614,0.0,0.505,0.898,67.196,4,H,6
all i want for christmas is you,mariah carey,0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,4,H,0
jingle bell rock,bobby helms,7vQbuQcyTflfCIOu3Uzzya,0.754,0.424,2,-8.463,1,0.0363,0.643,0.0,0.0652,0.806,119.705,4,H,6
last christmas,wham!,2FRnf9qhLbvw8fu4IBXx78,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48e-06,0.355,0.947,107.682,4,H,6
a holly jolly christmas,burl ives,77khP2fIVhSW23NwxrRluh,0.683,0.375,0,-13.056,1,0.0303,0.579,0.0,0.076,0.888,140.467,4,H,6
it's the most wonderful time of the year,andy williams,3gBhiIj76UJQ7jlrUR4qjc,0.294,0.885,4,-7.209,0,0.106,0.561,0.00133,0.099,0.401,112.715,3,H,1
"let it snow, let it snow, let it snow!",dean martin,2uFaJJtFpPDc5Pa95XzTvg,0.451,0.24,1,-14.014,1,0.0351,0.912,2.45e-06,0.175,0.701,134.009,4,H,2
feliz navidad,jose feliciano,0oPdaY4dXtc3ZsaG17V972,0.513,0.831,2,-9.004,1,0.0383,0.55,0.0,0.336,0.963,148.837,4,H,6
lovin on me,jack harlow,4xhsWYTOGcal8zt0J161CU,0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,4,H,6
sleigh ride,the ronettes,5ASM6Qjiav2xPe7gRkQMsQ,0.529,0.772,2,-7.013,1,0.0287,0.403,2.21e-06,0.316,0.853,91.751,4,H,6
santa tell me,ariana grande,0lizgQ7Qw35od7CYaoMBZb,0.525,0.621,7,-7.364,1,0.116,0.0489,0.0,0.294,0.591,191.9,4,H,0
underneath the tree,kelly clarkson,3YZE5qDV7u1ZD1gZc47ZeR,0.509,0.812,8,-5.439,1,0.0537,0.00128,1.99e-05,0.214,0.689,159.878,4,H,0
christmas (baby please come home),darlene love,46pF1zFimM582ss1PrMy68,0.325,0.759,8,-7.146,1,0.053,0.395,0.000362,0.0773,0.36,126.627,4,H,0
deck the halls,nat king cole,1TH5fhztFZmUGWaCXmZ6ie,0.645,0.451,9,-8.892,1,0.0372,0.653,0.0,0.0708,0.965,107.178,4,H,6
