UMAP_1,UMAP_2,cluster
9.416348,9.49288,5
9.1856165,11.3708515,5
10.499352,7.897077,5
10.866833,8.291434,5
10.474443,7.8188853,5
2.6750686,11.087471,1
9.532335,7.8130903,5
11.656305,8.504312,5
10.801893,9.053922,5
11.287736,8.244607,5
10.399418,11.777873,5
10.651103,12.009586,5
9.025356,11.227375,5
8.95771,9.7660885,5
8.972291,7.806712,5
10.542795,11.821184,5
10.393354,7.7465696,5
-2.425076,11.27708,4
8.223997,8.619399,5
4.1742353,12.085005,7
9.3794775,10.252101,5
9.385633,9.944185,5
5.145661,11.14933,0
10.339193,10.19367,5
11.639627,8.83038,5
-2.2450264,10.0822935,4
8.773538,-0.29852176,-1
10.050349,9.812132,5
-2.0380807,11.186207,4
8.56958,10.674926,5
-2.4264488,11.173238,4
-1.8325075,11.9644375,4
3.3233018,13.04092,7
4.5104303,11.156914,0
12.775636,7.7843614,6
-1.5869423,11.372383,4
9.954409,10.4235525,5
5.5129395,11.28232,0
11.971767,8.874141,5
9.814409,10.927166,5
8.817925,9.64539,5
0.86420953,11.425607,3
8.758128,10.598512,5
-2.992537,11.102106,4
-1.1715697,10.531414,4
-2.9471471,11.117613,4
5.483656,11.195745,0
-2.2765422,10.926232,4
8.090514,8.600039,5
-2.9333751,10.728384,4
-1.8112351,9.098888,4
-2.1674392,11.452196,4
-1.4314778,10.939481,4
13.115702,8.151459,6
12.144933,9.083274,5
5.578811,11.356179,0
-2.8291948,11.036004,4
11.242143,9.516834,5
9.807235,8.117331,5
-2.2730114,10.836133,4
11.25612,9.423521,5
10.882139,9.427915,5
12.350589,10.65239,5
-1.774023,9.16451,4
-1.5815665,10.688284,4
-3.0530784,10.661652,4
-1.771581,11.815462,4
-2.8527904,9.776195,4
-0.9240161,10.833976,4
0.57211363,11.672712,3
3.0809019,12.999526,7
9.631528,12.020326,5
11.663108,8.523017,5
0.26842833,12.134922,3
12.628442,10.654052,5
-2.2013166,10.882393,4
-1.0451826,9.70239,4
10.373827,9.7866335,5
13.283139,7.989638,6
10.821574,9.872196,5
-0.80168194,9.983182,4
12.652504,10.433374,5
0.7764146,11.64973,3
0.41826862,11.984827,3
8.621883,13.348921,2
-2.7078335,11.411678,4
-2.5592136,10.215328,4
9.738666,10.547566,5
8.280916,13.205541,2
9.505975,7.755568,5
7.6408315,14.167203,2
-2.4950871,9.804281,4
-2.7290483,9.660787,4
1.7730783,12.734731,3
2.039813,12.250957,-1
12.306035,8.070512,6
9.385432,7.8344574,5
12.555766,10.239761,5
0.60843456,11.799931,3
7.734498,14.206739,2
10.384722,11.654694,5
7.2825623,14.041962,2
8.845479,7.7604775,5
-1.7215104,9.106313,4
-2.284564,10.369684,4
9.1178,9.391275,5
11.216313,9.617622,5
2.5334914,11.458486,1
0.40881148,12.117035,3
8.660472,7.5200644,5
8.296486,13.324952,2
12.356245,10.748594,5
-1.8985877,11.730427,4
12.589166,10.590422,5
-1.0058995,12.216042,4
-1.5136406,10.951532,4
0.80859846,12.631219,3
7.0789375,13.36415,2
9.307782,12.789319,5
-1.1138736,9.720066,4
8.496443,7.902535,5
9.742336,10.12389,5
6.9127345,13.343415,2
-2.0894022,10.042825,4
-2.054011,10.052989,4
8.985044,9.734053,5
8.560285,7.709073,5
8.245451,13.256784,2
12.563774,7.500045,6
9.7300415,10.791525,5
3.1346092,13.297034,7
-2.27596,11.296412,4
5.380795,10.867507,0
-1.2281759,9.001076,4
12.350262,10.436036,5
8.196656,8.527596,5
12.414963,8.004886,6
9.615613,12.521318,5
-2.2816503,10.754649,4
8.859889,10.899608,5
-3.0413048,11.31754,4
11.1618595,8.1997795,5
2.8746893,13.826713,8
-1.6543934,8.928623,4
12.397931,10.5223055,5
10.57185,8.967153,5
7.3476152,13.224724,2
3.2675397,14.002333,8
9.706571,11.936653,5
-0.81973165,9.264263,4
11.325357,10.066011,5
9.426733,11.539199,5
9.377131,8.756377,5
9.04957,10.587039,5
5.643509,11.357772,0
4.072502,12.227889,7
-2.5181086,10.028265,4
9.051633,12.506334,-1
-0.44967565,11.268375,-1
10.437792,9.105722,5
10.810006,9.900561,5
7.2931433,14.041112,2
10.955629,9.398523,5
12.5212345,10.865562,5
-1.526875,9.904948,4
2.4949682,11.64772,1
8.912523,-0.4961326,-1
-3.07966,10.674941,4
10.186611,12.236768,5
12.626447,8.202349,6
12.061979,7.589875,6
7.584225,13.342634,2
2.7767668,11.053629,1
0.31645745,12.098586,3
12.203676,10.399364,5
10.195948,12.397,5
2.4276805,11.74857,1
9.925963,12.077546,5
-3.505487,10.747117,4
9.491176,8.697466,5
-1.9461871,11.596381,4
10.595916,12.428693,5
-1.2366108,12.038407,4
11.264953,9.775454,5
10.283577,12.457226,5
-1.6929656,11.353282,4
-2.3382092,9.928896,4
10.296801,7.7786145,5
8.408474,13.968076,2
10.710991,8.837232,5
10.682142,10.364533,5
8.469851,9.600917,5
0.5159114,12.326957,3
-1.2903086,12.173978,4
0.5069904,11.791423,3
1.2564263,12.520961,3
10.828287,9.922723,5
10.666961,11.189359,5
3.9783885,13.62966,-1
3.2898848,13.238524,7
7.5281363,13.2552805,2
12.53897,9.376092,5
9.539747,11.707749,5
10.469874,12.430658,5
9.4235735,12.647703,5
8.123229,13.345039,2
-2.1553419,9.009849,4
11.054096,11.560413,5
9.693308,12.4852495,5
8.868362,10.041158,5
2.8669238,11.032073,1
10.938597,11.277654,5
12.587109,8.760711,-1
9.712873,8.16622,5
12.688827,7.710317,6
-1.5784667,9.244777,4
3.1737561,14.196035,8
-0.0775407,10.663711,4
9.893484,10.433456,5
4.751541,10.650427,0
12.209673,9.908869,5
-1.1375688,10.86361,4
2.9349298,13.926413,8
3.8279026,12.453006,-1
-0.91903055,10.268316,4
-1.3884847,8.875652,4
8.856177,-0.45813623,-1
9.774908,10.545438,5
7.4578986,12.590084,-1
0.29487315,11.823109,3
3.2610784,14.105646,8
-3.158374,10.156108,4
11.52194,9.428777,5
11.05081,9.958825,5
9.293183,9.327102,5
10.202663,10.851676,5
8.520369,13.76436,2
-0.848377,9.20291,4
-0.8080602,9.8969145,4
-2.5971181,10.277035,4
8.633553,13.834584,2
9.960934,11.312417,5
8.126992,13.509295,2
-1.9503337,11.129304,4
10.510196,8.919515,5
10.679582,11.194217,5
5.877661,11.542974,0
0.6490133,12.212252,3
8.11156,8.673581,5
11.342404,9.302245,5
11.736151,9.671591,5
10.106992,11.611686,5
11.142855,10.606737,5
-2.8060338,11.007335,4
-2.8496664,10.549837,4
10.028741,7.6647344,5
-1.5462562,10.601517,4
12.7593775,7.28503,6
-0.82597995,9.341694,4
0.51520795,10.998032,3
12.156476,9.129701,5
11.084706,9.868343,5
5.1468234,11.240855,0
10.16517,8.545542,5
-1.4391154,10.988316,4
8.105577,13.677484,2
2.5820715,11.347644,1
10.460662,8.824097,5
8.602303,7.857177,5
-0.73084164,10.126475,4
-0.9335509,10.975172,4
11.7695055,10.122132,5
-1.1942903,9.341484,4
9.31778,11.030297,5
12.707384,10.19544,5
-2.9774556,10.198627,4
-3.0498435,11.262419,4
10.293084,11.307487,5
8.652698,7.585346,5
10.925883,12.042687,5
-2.3751771,10.9956255,4
-1.6952882,10.57448,4
11.0851345,9.860999,5
9.509303,10.105316,5
1.3404834,12.546029,3
-2.773664,11.488242,4
7.2561207,13.31738,2
12.289797,9.031823,5
9.139708,7.5848174,5
-1.8919743,11.001397,4
10.558775,11.309288,5
1.560643,12.575249,3
